Observed Value of ChemAHNet,Predicted Value of ChemAHNet,Observed Value of ChemAHNet-No MoIM,Predicted Value of ChemAHNet-No MoIM,Observed Value of ChemAHNet-No RCIM,Predicted Value of ChemAHNet-No RCIM,Observed Value of ChemAHNet-No MIM,Predicted Value of ChemAHNet-No MIM
0.23999977,-0.93063974,0.23999977,-1.383415,0.23999977,-0.55233335,0.23999977,0.8742008
1.7399998,1.922792,1.7399998,2.1476464,1.7399998,1.5352678,1.7399998,0.28396034
0,0.37830925,0,0.92030716,0,-0.47368908,0,0.110651016
-2.0600002,-1.3186841,-2.0600002,-1.7890925,-2.0600002,-1.8234177,-2.0600002,0.08668709
0.7000003,0.030560017,0.7000003,0.13300037,0.7000003,0.7653265,0.7000003,-0.60579515
-0.03999996,0.008738041,-0.03999996,-0.3383894,-0.03999996,-0.48148584,-0.03999996,0.0982914
3.13,1.7003727,3.13,1.08672,3.13,-0.7108202,3.13,0.29968452
3.27,3.3820415,3.27,3.8834162,3.27,4.253931,3.27,-0.22710991
2.7200003,2.080347,2.7200003,2.1414976,2.7200003,1.8020601,2.7200003,0.6964283
-0.55999994,-0.7083199,-0.55999994,-0.5001893,-0.55999994,-0.75640965,-0.55999994,0.2882862
-2.3,-2.4087307,-2.3,-2.2516396,-2.3,-2.0657158,-2.3,1.4265385
-2.48,-1.0878356,-2.48,-1.2859607,-2.48,-1.4769204,-2.48,-0.4221859
-2.48,1.5290718,-2.48,-1.0229068,-2.48,-0.6354637,-2.48,0.99889565
1.29,1.3984737,1.29,1.7971883,1.29,1.0864358,1.29,0.7764225
-1.45,-1.0696476,-1.45,-1.5743067,-1.45,-1.8002758,-1.45,-0.47189903
0,1.9340262,0,1.9834051,0,2.0159616,0,0.825861
1.8800001,0.96318674,1.8800001,1.2330661,1.8800001,0.9627609,1.8800001,2.0266666
1.8100004,-0.2880969,1.8100004,-1.3549857,1.8100004,-1.5352826,1.8100004,0.16263008
2.7200003,1.1986017,2.7200003,0.21911049,2.7200003,-0.39324713,2.7200003,0.3649845
0.77999973,0.10132313,0.77999973,-0.5127375,0.77999973,0.56133175,0.77999973,0.2400837
-1.74,-1.3266201,-1.74,-1.3953905,-1.74,-2.4303195,-1.74,0.1414814
2.44,2.1151257,2.44,2.2705736,2.44,1.855691,2.44,-1.6695464
-1.45,-1.2758086,-1.45,-1.2188096,-1.45,-1.560097,-1.45,-0.62769914
3.13,2.280614,3.13,2.9820056,3.13,2.7907767,3.13,1.9385014
2.7200003,0.6952362,2.7200003,0.6059098,2.7200003,0.8416443,2.7200003,-0.15219688
0.05000019,1.6210146,0.05000019,1.4446349,0.05000019,1.1083078,0.05000019,-1.0120833
-1.81,-1.6558473,-1.81,-1.8309212,-1.81,-1.768961,-1.81,0.4349537
0.48999977,0.2020874,0.48999977,-0.113857746,0.48999977,0.07847166,0.48999977,-0.9627135
-1.8800001,-1.764143,-1.8800001,-1.3397975,-1.8800001,-1.7943664,-1.8800001,-1.6540282
2.48,1.995101,2.48,2.086728,2.48,2.5110874,2.48,0.739069
-3.71,-0.07517433,-3.71,-2.3675437,-3.71,-1.3469856,-3.71,-0.25244713
-2.52,-1.4453726,-2.52,-2.0236628,-2.52,-1.5032403,-2.52,0.24118233
-0.68000007,0.8036661,-0.68000007,-0.11671209,-0.68000007,0.3155942,-0.68000007,0.1426487
-1.96,-1.9056821,-1.96,-1.6834798,-1.96,-1.3557253,-1.96,-1.0283568
0.85999966,0.82028055,0.85999966,0.6322031,0.85999966,1.3061218,0.85999966,-0.09946251
-2.28,-2.2233944,-2.28,-2.3236554,-2.28,-2.2944121,-2.28,-1.6367247
1.1300001,0.5299225,1.1300001,1.1379724,1.1300001,1.0450764,1.1300001,-0.5218184
2.3000002,1.9935789,2.3000002,1.4899778,2.3000002,1.4214668,2.3000002,0.25738716
-2.21,0.54603004,-2.21,-1.2720919,-2.21,2.6812649,-2.21,-0.85971665
0.09000015,0.44810915,0.09000015,0.029271126,0.09000015,-0.01046133,0.09000015,-1.2513106
-2.81,-2.5432236,-2.81,-2.7219982,-2.81,-2.5474308,-2.81,1.0076847
0.77,0.86374664,0.77,0.5441437,0.77,0.72519016,0.77,1.1993961
3.3999996,0.85771465,3.3999996,2.176538,3.3999996,0.6936226,3.3999996,-1.2920287
1.3000002,-0.9893322,1.3000002,-0.82016945,1.3000002,-1.3094614,1.3000002,-0.1787014
-2.56,-2.426593,-2.56,-2.2843676,-2.56,-2.5517478,-2.56,-0.44518852
-2.0600002,-2.4343934,-2.0600002,-2.5271235,-2.0600002,-1.8061755,-2.0600002,-0.28169823
1.6799998,1.635037,1.6799998,1.6022544,1.6799998,1.6354909,1.6799998,0.15075111
-0.73,-2.0193973,-0.73,-2.3807216,-0.73,-1.8686721,-0.73,-1.2419035
0.14999962,0.3218403,0.14999962,0.2822938,0.14999962,0.21133804,0.14999962,0.9057865
-1.52,-0.38056803,-1.52,-1.451277,-1.52,-1.5101559,-1.52,0.12864113
-0.40999985,-0.5224922,-0.40999985,-0.26596975,-0.40999985,-0.2236762,-0.40999985,-1.0110533
-1.74,-1.6552069,-1.74,0.30785894,-1.74,-0.58937097,-1.74,0.13537025
-1.9300001,0.7047987,-1.9300001,-0.14230537,-1.9300001,2.1089296,-1.9300001,2.218378
-2.72,-2.358871,-2.72,-2.4168117,-2.72,-2.5619237,-2.72,-3.3065093
-1.3299999,-1.7807379,-1.3299999,-1.3450444,-1.3299999,-1.5531218,-1.3299999,-0.15480614
1.0299997,0.6101103,1.0299997,-0.14289331,1.0299997,0.5675559,1.0299997,0.53712654
-2.72,-1.1653869,-2.72,-1.6575973,-2.72,-2.1942701,-2.72,-0.029218674
2.29,1.8478112,2.29,1.4082322,2.29,2.6829453,2.29,0.748682
-2.3,-0.25179672,-2.3,-1.0114133,-2.3,2.2177238,-2.3,0.67150307
-1.5600002,-1.4505823,-1.5600002,-2.019606,-1.5600002,-1.5687666,-1.5600002,-1.6639159
2.42,1.9416327,2.42,2.7058983,2.42,2.6198702,2.42,1.2705326
-2.23,-2.2338924,-2.23,1.9613743,-2.23,-0.33418798,-2.23,0.9325657
-0.13000011,-0.30054379,-0.13000011,-0.7906909,-0.13000011,0.7270708,-0.13000011,0.77010536
-0.13999987,-1.7101533,-0.13999987,-1.5853598,-0.13999987,-2.206209,-0.13999987,-0.48659325
-2.56,-2.6917193,-2.56,-2.8938684,-2.56,-2.862059,-2.56,-1.8619444
-1.49,-1.122817,-1.49,-1.3927507,-1.49,-0.6158352,-1.49,-0.95131516
1.1000004,2.2827668,1.1000004,2.3870788,1.1000004,1.522831,1.1000004,1.3643284
-3.68,1.6459398,-3.68,2.049243,-3.68,1.7073298,-3.68,1.6425571
0.19000006,0.09123945,0.19000006,-0.19348001,0.19000006,0.4393835,0.19000006,0.3993168
3.8500004,1.511632,3.8500004,2.6852317,3.8500004,1.2109771,3.8500004,1.5013828
-0.42000008,-0.2331295,-0.42000008,-0.49611998,-0.42000008,-0.4117303,-0.42000008,-0.048376083
-1.24,-0.8093326,-1.24,-1.0292213,-1.24,-1.7683251,-1.24,-0.36423302
-0.8200002,-0.73220634,-0.8200002,-0.5070162,-0.8200002,-0.7558675,-0.8200002,-0.21344566
-1.6299999,-1.487432,-1.6299999,-1.4024556,-1.6299999,-0.46946335,-1.6299999,0.82187843
-1.0699999,0.1321621,-1.0699999,-0.03875017,-1.0699999,0.27847815,-1.0699999,0.576334
3.2199998,2.489441,3.2199998,2.8251567,3.2199998,2.431374,3.2199998,1.9474277
0,0.021909714,0,0.5221853,0,0.9763465,0,1.3710575
1.4899998,1.1818457,1.4899998,1.4190011,1.4899998,1.6217813,1.4899998,-1.0462096
-1.45,-1.8560293,-1.45,-1.8951449,-1.45,-1.6787972,-1.45,0.17622566
-2.1699998,-1.888942,-2.1699998,-1.6059861,-2.1699998,-2.1988277,-2.1699998,-1.5053008
-1.6299999,1.8814311,-1.6299999,0.52954483,-1.6299999,1.513217,-1.6299999,-0.45658684
2.7200003,1.7154198,2.7200003,1.5666113,2.7200003,-1.424628,2.7200003,0.56287575
2.0899997,1.6373267,2.0899997,1.822803,2.0899997,2.392654,2.0899997,1.6212711
0,1.2556205,0,2.124898,0,1.736362,0,0.36127663
-1.45,1.3550615,-1.45,0.20191622,-1.45,0.4694171,-1.45,0.3342228
-2.1999998,2.1241755,-2.1999998,2.1767225,-2.1999998,1.6717014,-2.1999998,-1.347647
-0.42000008,-0.89296675,-0.42000008,-1.0421271,-0.42000008,-0.54921746,-0.42000008,-1.0625517
-2.1699998,0.96279716,-2.1699998,-0.9445734,-2.1699998,-0.021611214,-2.1699998,0.6557102
0,-0.0364666,0,-1.9361434,0,-0.62018037,0,-0.2900753
-2.16,-3.874503,-2.16,-4.091949,-2.16,-4.466592,-2.16,-0.09177208
0.13999987,0.38792896,0.13999987,0.6956892,0.13999987,-0.061100006,0.13999987,1.2607136
-2.6999998,-2.1759393,-2.6999998,-2.495603,-2.6999998,-3.158316,-2.6999998,-1.2236388
-3.13,-3.1711597,-3.13,-2.7639256,-3.13,-2.6878514,-3.13,-0.14622307
-1.8,-1.6907599,-1.8,-1.2141502,-1.8,-1.1261158,-1.8,0.8533268
-2.0600002,-1.4315934,-2.0600002,1.951798,-2.0600002,1.9287605,-2.0600002,0.28396034
-2.48,-1.8966978,-2.48,-1.5098183,-2.48,-1.7604847,-2.48,0.3342228
-3.4,-3.1980848,-3.4,-2.9372115,-3.4,-3.3938608,-3.4,-1.0941374
0.09000015,-0.20338154,0.09000015,0.649107,0.09000015,-0.20899248,0.09000015,0.6083317
-3.1399999,-2.6361532,-3.1399999,-1.6058185,-3.1399999,-2.2562208,-3.1399999,-1.8660643
-3.29,-2.527903,-3.29,-2.420408,-3.29,-1.5326896,-3.29,-1.4484465
1.4499998,1.5304041,1.4499998,1.476481,1.4499998,2.2007117,1.4499998,1.2224674
-3.68,-1.7348318,-3.68,-2.704423,-3.68,-2.8672447,-3.68,-0.6476805
1.96,1.1452355,1.96,2.002276,1.96,1.4230719,1.96,0.25333595
-2.3,-2.1177568,-2.3,-1.9091711,-2.3,-2.7404091,-2.3,-0.0758419
-0.98,-0.3983631,-0.98,-0.73920226,-0.98,-0.7484312,-0.98,0.8957615
-2.93,-2.521419,-2.93,-2.6369817,-2.93,-2.8076332,-2.93,-1.9584868
2.06,1.723372,2.06,1.2816324,2.06,2.2515712,2.06,-0.5884917
-0.56999993,-0.72252226,-0.56999993,-0.68174696,-0.56999993,-1.4579506,-0.56999993,-0.23802757
-0.03999996,-0.8125005,-0.03999996,-1.870157,-0.03999996,-1.8190062,-0.03999996,0.16118813
-2.1200001,-2.0655417,-2.1200001,-1.5638914,-2.1200001,-2.903224,-2.1200001,0.13715553
2.06,1.6226668,2.06,2.3709993,2.06,1.5343537,2.06,0.41126442
1.1799998,1.1413207,1.1799998,1.43333,1.1799998,-0.5568156,1.1799998,0.39684486
-2.98,-2.0745285,-2.98,-2.4556873,-2.98,-1.6104374,-2.98,-0.055929184
1.4100003,0.082454205,1.4100003,-1.9701896,1.4100003,0.5432148,1.4100003,-0.08559227
-1.8900001,-2.0966554,-1.8900001,-1.9190433,-1.8900001,-2.3394039,-1.8900001,-0.32413292
1,-0.12914848,1,-0.22154379,1,-2.4529305,1,1.1706944
1.5100002,1.3850088,1.5100002,1.5022302,1.5100002,1.4180641,1.5100002,0.80114174
-0.3000002,-0.21718836,-0.3000002,-0.12726259,-0.3000002,0.29004717,-0.3000002,-1.0549986
-2.3,-2.3847492,-2.3,-2.3587065,-2.3,-2.0482707,-2.3,-0.8987181
2.23,2.3808985,2.23,3.0749688,2.23,2.4463763,2.23,0.3413639
2.17,1.830215,2.17,1.3707929,2.17,2.3123713,2.17,0.6359348
2.9,2.3126755,2.9,3.250039,2.9,2.7403002,2.9,-0.058813095
-0.97,-1.3533332,-0.97,-1.3043537,-0.97,-1.3087461,-0.97,-0.69045854
1.96,-1.5310142,1.96,-1.4610918,1.96,0.19114208,1.96,0.7626209
1.19,1.5845022,1.19,-0.6565511,1.19,-0.2017498,1.19,0.057847977
-2.75,-1.1275601,-2.75,0.3584714,-2.75,-2.3679237,-2.75,-0.14024925
-1.6299999,-0.88836384,-1.6299999,-1.6190224,-1.6299999,-1.1501012,-1.6299999,-0.9388182
0.75,-0.1399951,0.75,-0.1445489,0.75,-0.6304784,0.75,-0.4438839
-1.74,-1.5813818,-1.74,-1.6216462,-1.74,-1.3705139,-1.74,-1.5585845
-2.48,-1.2428849,-2.48,-2.1868656,-2.48,-1.2722392,-2.48,-0.14175987
-0.9599998,-0.37166357,-0.9599998,0.18110323,-0.9599998,-0.040810585,-0.9599998,0.37397957
0.73,1.4676661,0.73,1.3822188,0.73,1.3610868,0.73,0.63126564
-1,-1.9385242,-1,0.21143007,-1,-2.7289658,-1,-0.9958098
-1.96,-1.2691255,-1.96,-1.6170914,-1.96,-1.8478932,-1.96,-1.5854323
-1.4100001,-0.24666071,-1.4100001,-0.17772579,-1.4100001,-2.3221617,-1.4100001,0.7463474
-2.0600002,-2.0656102,-2.0600002,-2.1472397,-2.0600002,-2.4663308,-2.0600002,-2.8566191
0.46000004,0.44902325,0.46000004,0.51621914,0.46000004,0.0996356,0.46000004,-0.045080185
-3.08,-1.5009725,-3.08,-0.9863043,-3.08,-2.2362201,-3.08,-0.99045396
-0.46000004,-1.3284872,-0.46000004,-1.3046091,-0.46000004,-1.1039233,-0.46000004,-0.85724473
-1.0699999,-1.0099657,-1.0699999,-0.949667,-1.0699999,-1.0791972,-1.0699999,0.25120735
0,-0.07326841,0,0.5303364,0,-2.251342,0,0.3092289
1.8499999,1.1772795,1.8499999,2.03445,1.8499999,0.905406,1.8499999,0.12122536
0.3499999,-0.10422993,0.3499999,-0.5584574,0.3499999,0.45426846,0.3499999,-0.23747826
