Observed Value 1,Predicted Value 1,Observed Value 2,Predicted Value 2,Observed Value 3,Predicted Value 3,Observed Value 4,Predicted Value 4
1.2381091,1.078531,0.392794,0.7419103,1.0749905,0.931627,1.6294224,1.4561589
1.1798906,1.1770613,0.8209451,0.92809206,1.1257224,0.9805551,1.3011672,1.5918267
0.53023446,0.4054426,1.0272076,0.9798935,1.6294224,1.4943182,2.7211688,2.6930327
0.61940867,0.5374787,0.31517172,0.7621959,2.0584993,1.4235759,1.8820012,2.610984
0.7846032,0.5677335,1.1798906,1.0855548,1.4463253,1.0883965,1.9641528,1.9024067
0.53023446,0.31000215,0.34072298,0.67657477,0.3665868,0.60235304,1.6294224,1.6239944
0.65058357,0.85152024,0.61940867,0.61669034,0.5890022,0.79714984,1.4463253,1.6603947
0.53023446,0.3939612,-0.41937774,0.05981928,0.31517172,0.28703094,1.3011672,1.0639906
0.50175846,0.40659934,-0.24011102,0.10002369,0.09495276,0.16732746,1.3011672,1.2223122
0.19114208,0.12627506,0.24011105,0.28802526,0.09495276,0.63882214,1.3701036,1.2499111
0.19114208,0.08313906,-0.26489234,0.09646028,0.41937774,0.24939317,1.0749905,1.2127655
0.118834496,-0.012258619,0.21553546,0.080105126,1.1798906,1.1501603,1.1798906,0.9880459
0.6826014,0.35507,0.53023446,0.8496744,1.0272076,1.0120645,0.21553546,0.244425
1.2381091,1.091763,0.50175846,0.8036055,1.3011672,1.073494,0.61940867,0.32204896
1.2381091,1.283488,0.5592976,0.67147917,1.3011672,1.5493386,0.6826014,0.39169216
1.1798906,1.1145086,0.047400236,0.08554256,1.9641528,1.3498809,0.21553546,0.3263113
1.0272076,1.3143332,0,0.08059326,1.4463253,1.1757061,0.118834496,0.14116383
1.1257224,1.3546915,0.02369064,0.11067909,1.3701036,1.0066774,0.118834496,0.099458754
1.2381091,1.1908247,0.02369064,0.082212985,0.21553546,0.5858621,1.2381091,1.1046042
1.0749905,1.3487592,0,0.11956847,0.61940867,0.6997953,0.28990394,0.18151438
1.7436576,1.5797272,0.47381997,0.6645934,0.24011105,0.22245318,1.1257224,1.0995066
1.7436576,1.8371253,0.6826014,0.70551354,0.118834496,0.18177241,1.1798906,0.92505974
2.7211688,2.5017664,1.1798906,1.3042169,0.118834496,0.6054525,1.1257224,0.8409204
1.3011672,1.2610903,-0.24011102,0.07804075,0.28990394,0.19539464,0.9819805,1.1489525
3.1346245,3.3256428,1.1257224,1.0447478,1.2381091,1.230577,1.0272076,1.1548026
1.4463253,1.505842,1.0999599,1.0161984,1.1257224,0.87504894,1.5318029,1.3366714
1.5318029,1.2511461,0.34072298,0.7264696,1.0272076,1.0904076,1.3701036,1.2848408
1.4463253,1.18152,1.1798906,0.9110648,1.3701036,1.1004078,1.3011672,1.4650223
1.5318029,1.393518,0.47381997,0.7043386,1.3011672,1.7535965,2.7211688,2.5027976
1.3701036,1.3724203,0.47381997,0.682995,1.8820012,1.2802918,2.7211688,2.4674869
1.6294224,1.5093484,0.65058357,0.7516132,1.3701036,1.2385409,1.8820012,1.7350154
3.1346245,3.1702216,0.47381997,0.8817541,-0.24011102,0.26012152,1.3011672,1.5415053
3.1346245,2.3788285,1.0749905,0.5492755,-0.19114208,0.2971502,1.3701036,1.1955826
1.7436576,1.7564805,0.7155457,0.78272146,0.5592976,0.56405735,1.3701036,1.4991622
1.4463253,1.3572354,0.44637358,0.87582487,0,0.09154761,0.8979607,1.0172124
1.4463253,1.2139161,0.50175846,0.7650998,-0.023690611,-0.005779505,0.53023446,0.57747793
1.7436576,1.4711943,0.3665868,0.6765004,0.02369064,0.067884654,0.50175846,0.51411605
2.304684,2.1730661,0.50175846,0.70724875,0.6826014,0.93003315,0.7155457,0.7404583
1.7436576,1.8168631,0.61940867,0.7549495,0.047400236,0.11121547,-0.24011102,0.07889196
2.0584993,1.7383378,1.0749905,0.96612567,0.5592976,0.5116966,-0.19114208,-0.14914879
1.3011672,1.3121846,0.2524745,0.7835651,0.65058357,0.6091297,0.34072298,0.31526417
1.7436576,1.8529148,0.34072298,0.7658898,0.7495107,0.5988248,0,0.33506453
1.3011672,1.2764428,1.3011672,1.0600927,0.61940867,0.48630118,-0.023690611,0.07010874
1.1257224,1.172257,0.5592976,0.75591546,1.5318029,0.8872462,0.02369064,0.06858191
1.1257224,1.2375748,0.8979607,0.91638976,-0.19114208,0.19318485,0.50175846,0.6901161
1.1257224,1.2589319,0.53023446,0.77872795,-0.28990394,0.18623823,0.6826014,0.659491
0.1669085,0.34171247,0.50175846,0.6764036,0.5890022,0.5684838,1.2381091,1.2624414
0.26489234,0.45953602,0.7155457,0.69753665,-0.09495276,0.1979596,0.047400236,0.1356256
0.7155457,0.6016262,-0.24011102,0.064733714,-0.023690611,0.029523313,0.9819805,1.2380271
0.118834496,0.21213043,-0.19114208,0.091974795,0.14281297,0.32433987,1.1798906,1.3760185
0.8209451,0.8380149,0.34072298,0.3360933,0.7495107,0.79933125,0.5890022,0.6654151
0.1669085,0.31080145,-0.1669085,0.11320311,-0.09495276,0.17838687,0.65058357,0.8311667
0.1669085,0.33333248,0.24011105,0.10396904,0.9389873,0.8744325,0.5890022,0.48455334
0.14281297,0.15046608,0.5592976,0.83271676,0.61940867,0.64468855,0.65058357,0.55329686
0.14281297,0.027633429,0.5592976,0.83666414,0.7846032,0.35450202,0.7495107,0.70735925
0.07114786,0.038586855,0.7155457,0.6348575,0.5592976,0.6557738,0.5159263,0.489289
1.2381091,1.4389102,0,0.071549594,0.47381997,0.41361767,0.61940867,0.5459977
0.28990394,0.28831476,0,0.0807277,0.24011105,0.6412695,1.5318029,1.3644738
1.0272076,1.114115,0,0.10873318,0.65058357,0.5124549,1.1257224,1.3195536
1.0749905,1.336931,-0.023690611,0.09515476,1.2381091,1.1817718,1.1798906,1.11749
1.1798906,1.2918227,0.02369064,0.11651701,0.31517172,0.37192708,0.19114208,0.2745695
1.1257224,1.1785119,0.50175846,0.6496381,0.19114208,0.18140173,0.53023446,0.36314088
1.2381091,1.2600276,0.6826014,0.73500174,0.19114208,0.56703657,0.7495107,0.39527136
1.2381091,1.3107681,1.2381091,1.2435882,0.28990394,0.29752612,0.19114208,0.34488052
1.2381091,1.3566396,0.047400236,0.07902992,1.1257224,1.4917548,0.1669085,0.16699392
1.1798906,1.1834075,0.9819805,1.0761564,1.2381091,1.2424064,0.047400236,0.08791208
1.0999599,1.3115253,0.50175846,0.78536147,1.5318029,1.6385391,1.2381091,1.1709158
1.0272076,1.2559774,1.1798906,0.91835433,1.4877539,1.380491,0.19114208,0.220447
1.4463253,1.5618615,0.5890022,0.74665743,1.5318029,1.0985768,1.2381091,1.2070878
2.0584993,1.7960494,0.5592976,0.7230254,1.3011672,1.213898,1.2381091,1.0537567
2.304684,2.2827244,0.7846032,0.8116397,0.1669085,0.5571943,1.1257224,0.93383974
3.1346245,3.3730648,0.5592976,0.84693927,0.65058357,0.6154532,1.0272076,1.2419858
1.4463253,1.6667938,0.6826014,0.5506308,0.1669085,0.26103872,1.6294224,1.4206305
1.3701036,1.2181547,0.6826014,0.76764923,0.24011105,0.19096273,1.3011672,1.3362949
1.3701036,1.2232537,0.8209451,0.89367706,-0.047400236,0.58438593,1.3011672,1.5534081
1.5318029,1.4348869,0.65058357,0.74488896,0.24011105,0.2228769,3.1346245,2.52577
1.4463253,1.5348625,0.5890022,0.66326934,1.2381091,1.0452962,3.1346245,2.3881435
2.7211688,3.150546,0.65058357,0.7022781,1.1798906,1.0212865,1.3348231,1.8257053
2.304684,2.7046487,0.7495107,0.77100855,1.1798906,1.0801878,2.0584993,1.6026707
2.0584993,1.7480996,0.5159263,0.7538654,1.3701036,1.2706456,1.4463253,1.3439243
1.3701036,1.4526889,0.61940867,0.77237815,1.5318029,1.4282618,1.3011672,1.5053852
1.4463253,1.360482,1.5318029,0.9583679,1.4463253,1.110441,1.3701036,1.2344542
2.304684,2.3239026,1.7436576,1.1169412,1.3701036,1.3649073,1.1257224,1.3357055
2.7211688,2.0634074,2.0584993,1.1178322,0.19114208,0.5217685,1.0749905,1.0019541
1.6294224,1.5852766,1.5318029,0.9978214,0.53023446,0.618586,0.24011105,0.27093196
2.0584993,1.7896593,1.5318029,0.9631501,1.1257224,1.1649699,0.34072298,0.34779984
0.5592976,0.6508269,0.47381997,0.7386866,0.24011105,0.26041842,0.5890022,0.39459127
1.0272076,0.9476194,0.8209451,0.9327708,0.1669085,0.17686808,0.34072298,0.30314922
1.0749905,1.2275293,0.8209451,0.97140735,0.047400236,0.81714386,0.118834496,0.1287108
0.5592976,0.5020724,0.392794,0.79115003,0.19114208,0.25070482,-0.047400236,0.08915293
0.5890022,0.46529073,0.44637358,0.68342954,1.1257224,1.1010618,0.118834496,0.21148056
0.8209451,0.83279914,0.8209451,0.6152205,1.0272076,1.2066917,1.1798906,1.513308
0.02369064,-0.008329749,-0.19114208,0.06417948,1.3011672,1.645819,1.0749905,1.1580639
-0.3151717,-0.21187033,-0.28990394,0.096723616,1.3348231,1.1992731,1.6294224,1.46819
0.47381997,0.21379262,0.28990394,0.2066673,1.3011672,1.4228008,1.3011672,1.363904
0.02369064,-0.1734243,-0.19114208,0.09337598,1.3011672,1.1963503,1.3701036,1.2061644
0.24011105,0.24093103,0.41937774,0.08262944,0.7495107,0.42100435,1.3701036,1.4540639
0.61940867,0.73896486,0.5592976,0.83760816,-0.21553543,0.2629165,2.304684,2.4475274
0.61940867,0.7813069,0.5890022,0.80489975,0.7155457,0.68033296,2.304684,2.0873122
0.9389873,0.85343534,0.8586766,0.6769032,0.53023446,0.6363793,1.8820012,1.65691
0.02369064,0.23282838,-0.07114786,0.08894366,0,0.027921021,1.8820012,1.5833707
0,0.21351379,-0.09495276,0.07900381,-0.047400236,0.2529471,1.4463253,1.3108802
0.047400236,-0.054477245,0.047400236,0.1068393,0.8586766,0.8658803,1.3011672,1.0348434
0.047400236,-0.002563924,-0.023690611,0.075368464,-0.047400236,0.5940216,1.3011672,1.0287714
-0.023690611,-0.14312312,0.14281297,0.13615042,0.7155457,0.6585044,1.3348231,1.1862948
0.5890022,0.7026263,0.50175846,0.675741,0.8209451,0.7222621,1.5318029,1.205334
0.7846032,0.84061927,0.7495107,0.6920721,0.65058357,0.9310098,1.1257224,1.2471063
0.14281297,0.10821086,1.2381091,1.2719057,0.3665868,0.40434867,1.1257224,1.0493641
1.1798906,1.2517304,-0.09495276,0.07416943,1.3701036,0.9875508,0.1669085,0.2786097
1.1257224,1.1655457,1.1798906,1.0587394,-0.14281297,0.2319451,0.26489234,0.37577266
0.50175846,0.5422647,0.9389873,1.017806,-0.36658674,0.23457885,0.7155457,0.41311044
0.9819805,0.77543575,0.44637358,0.71655947,0.5592976,0.5271042,0.1669085,0.3090322
0.5890022,0.6621184,0.8209451,0.90469056,0.3665868,0.32461894,0.14281297,0.08440739
0.50175846,0.6198147,0.7846032,0.70476943,0.047400236,0.06549123,0.07114786,0.07371873
0.5592976,0.6668251,0.61940867,0.6789116,0,0.1953513,1.2381091,1.2033124
0.50175846,0.55922085,0.9819805,0.7407182,0.5890022,0.85831124,0.28990394,0.1773215
1.0749905,1.2452543,0.65058357,0.8772648,-0.118834496,0.24828786,1.0749905,1.5192826
0.44637358,0.6091235,0.5592976,0.5621623,1.2084489,0.85935587,1.2381091,1.1766334
0.65058357,0.57550174,0.5592976,0.79144984,0.44637358,0.50855505,1.2381091,1.0712552
0.5890022,0.5757856,0.1669085,0.8777577,0.8209451,0.6912672,1.1798906,1.0720437
0.50175846,0.62449664,0.7846032,0.78571934,0.65058357,0.7027324,1.0999599,1.2032433
0.61940867,0.62519306,0.392794,0.68700665,0.65058357,0.35109282,1.0272076,1.2035785
1.1523421,1.2557204,0.61940867,0.7089532,0.3665868,0.55210793,1.4463253,1.3998682
0.40603667,0.56674457,0.5592976,0.74687856,0.5592976,0.5524344,1.4463253,1.2790477
0.6826014,0.3650273,1.0507569,0.95382065,1.1798906,1.0610127,1.4463253,1.4498882
1.7436576,1.8052928,0.46003795,0.77627283,0.50175846,0.46271867,2.7211688,2.795702
1.7436576,1.5650711,0.47381997,0.75876254,0.24011105,0.11447376,2.304684,2.8089602
1.4463253,1.2251315,1.6294224,1.0474021,0.118834496,0.44958067,2.0584993,1.7037528
1.7436576,0.98514026,1.6294224,1.0616393,0.118834496,0.37989593,1.3701036,1.2686167
,,0.61940867,0.74566287,1.2381091,1.1731856,1.6294224,1.632343
,,0.8979607,0.90791446,1.2381091,1.0759654,,
,,0.53023446,0.76190835,0.9819805,1.1287544,,
,,0.6826014,0.6748238,1.7436576,1.3246648,,
,,0.8586766,0.6477292,1.9641528,1.2930386,,
,,0.7495107,0.063527524,1.4463253,1.096786,,
,,-0.21553543,0.09360504,0.392794,0.6646283,,
,,0.392794,0.32082415,0.5592976,0.7809954,,
,,-0.047400236,0.106428206,0.392794,0.3806185,,
,,0.34072298,0.09677023,0.19114208,0.20871603,,
,,0.65058357,0.8413442,0.047400236,0.5658948,,
,,0.7155457,0.82529765,0.26489234,0.3260184,,
,,0.8209451,0.6500754,1.1798906,1.2261269,,
,,0.7495107,0.07251778,1.1257224,1.1774888,,
,,0.53023446,0.07943976,1.3701036,1.3415186,,
,,-0.047400236,0.11252153,1.6294224,1.7252762,,
,,0,0.09379566,1.6840911,1.4453242,,
,,-0.047400236,0.11817622,1.7436576,1.0117595,,
,,0.5890022,0.6540697,1.5318029,1.0593922,,
,,0.8586766,0.7330858,0.24011105,0.5826431,,
,,-0.047400236,0.078051865,0.34072298,0.703839,,
,,0.53023446,0.7729259,1.1798906,1.2197871,,
,,0.7155457,0.72814626,0.3665868,0.31485665,,
,,0.7155457,0.70429033,0.118834496,0.19010943,,
,,1.0749905,0.79317206,-0.047400236,0.5385147,,
,,0.7846032,0.8505309,0.118834496,0.26614082,,
,,1.0272076,0.540695,1.1798906,1.0424018,,
,,0.65058357,0.76493996,1.3701036,1.593606,,
,,0.7495107,0.88057166,1.8820012,1.4489555,,
,,0.8209451,0.7428922,1.3011672,1.3696282,,
,,0.5890022,0.6651582,1.3011672,1.0670063,,
,,0.47381997,0.7046161,1.5318029,1.0743701,,
,,0.65058357,0.7686431,-0.14281297,0.37679315,,
,,0.21553546,0.76852566,-0.118834496,0.26349765,,
,,0.3665868,0.7737469,0.5592976,0.49612904,,
,,1.3701036,0.95771986,0.41937774,0.5687109,,
,,1.7436576,1.0666466,0.047400236,-0.008343786,,
,,1.7436576,1.1010134,0.02369064,0.17174315,,
,,1.3011672,1.2546792,0.5592976,0.8753728,,
,,1.3011672,1.0175536,0,0.51401573,,
,,1.3701036,1.0137036,1.0999599,0.78243047,,
,,1.7436576,0.9171434,0.53023446,0.5102669,,
,,1.3701036,0.97919685,0.8209451,0.6526434,,
,,0.50175846,0.7508765,0.6826014,0.7442866,,
,,0.9819805,0.9476375,0.7495107,0.39261794,,
,,1.2381091,0.98697346,-0.24011102,-0.014926821,,
,,0.6826014,0.8586356,-0.1669085,0.037008584,,
,,0.5890022,0.70918876,0.47381997,0.3301739,,
,,0.50175846,0.6522623,-0.26489234,-0.12550402,,
,,-0.14281297,0.080132574,0.02369064,0.037811846,,
,,-0.36658674,0.10216874,-0.07114786,0.0726628,,
,,0.28990394,0.45732498,0.5890022,0.7655663,,
,,-0.118834496,0.11422384,-0.07114786,-0.11978462,,
,,0.41937774,0.078879,0.83962756,0.61003894,,
,,0.50175846,0.88659436,0.47381997,0.36951542,,
,,0.5592976,0.85603756,0.5592976,0.48228276,,
,,0.44637358,0.6689252,0.53023446,0.41071737,,
,,0.3665868,0.079956174,0.44637358,0.23728216,,
,,0.3665868,0.08803344,0.19114208,0.40841776,,
,,0,0.09950751,0.5890022,0.30454564,,
,,0.047400236,0.07497609,0.1669085,0.1887058,,
,,0,0.11961293,0.118834496,0.18046439,,
,,0.61940867,0.7119548,0,0.832454,,
,,0.5890022,0.72551507,0.34072298,0.13390487,,
,,-0.118834496,0.084424615,1.0749905,1.030798,,
,,1.1257224,1.0378304,1.4463253,1.1397913,,
,,1.2084489,1.0377564,1.4463253,1.7816062,,
,,0.65058357,0.72785836,2.0584993,1.2521684,,
,,0.7495107,0.91285616,1.3011672,1.479419,,
,,0.44637358,0.72454745,1.7436576,1.104878,,
,,0.44637358,0.66708905,1.3701036,0.9376953,,
,,0.65058357,0.76057655,0.53023446,0.5966602,,
,,0.53023446,0.90395135,0.61940867,0.71473473,,
,,1.1798906,0.5520049,0.50175846,0.41392535,,
,,0.44637358,0.7888848,0.19114208,0.19086212,,
,,0.5592976,0.881095,0.118834496,0.6964329,,
,,0.8209451,0.8356691,0.6826014,0.33426756,,
,,0.5592976,0.7124222,1.1798906,1.291599,,
,,0.61940867,0.70957464,1.2381091,1.1741474,,
,,0.65058357,0.72862726,1.4463253,1.2562628,,
,,1.268975,0.9924374,1.6294224,1.9544182,,
,,0.50175846,0.83703727,1.7436576,1.4317155,,
,,0.65058357,0.8149139,2.0584993,1.2009807,,
,,1.7436576,1.0605445,1.3011672,1.0706601,,
,,1.8820012,1.0928035,0.1669085,0.42604834,,
,,1.4463253,1.1430116,0.26489234,0.67658204,,
,,0.65058357,0.76419276,0.1669085,0.18249089,,
,,1.0749905,0.9532991,0.14281297,0.13453108,,
,,1.0272076,1.0111134,0.07114786,0.6000814,,
,,0.6826014,0.79990643,0.28990394,0.11136997,,
,,0.5592976,0.70419997,1.1798906,1.386997,,
,,0.53023446,0.6319477,1.1798906,1.1168506,,
,,-0.14281297,0.07085773,1.0272076,1.1659975,,
,,-0.118834496,0.10853475,1.3701036,1.2356026,,
,,0.392794,0.2954557,1.4463253,1.7788799,,
,,-0.14281297,0.0976516,2.0584993,1.2517669,,
,,0.44637358,0.102375746,1.6294224,1.3130357,,
,,0.53023446,0.8363009,0.02369064,0.19972652,,
,,0.5592976,0.81224114,-0.3151717,0.1871165,,
,,0.5592976,0.6774475,0.61940867,0.50452024,,
,,0.392794,0.09077686,0,0.11167508,,
,,0.41937774,0.0806663,0.047400236,-0.010153294,,
,,0.02369064,0.10448152,-0.023690611,0.16483414,,
,,0.047400236,0.07400599,0.7846032,0.9583493,,
,,0.02369064,0.11763245,0.14281297,0.09099865,,
,,0.65058357,0.6957174,1.1257224,0.77347857,,
,,0.5592976,0.7037409,0.50175846,0.48784417,,
,,0,0.07479328,0.65058357,0.665636,,
,,1.1257224,1.1091251,0.61940867,0.5369361,,
,,1.0999599,1.0449398,0.6826014,0.37841922,,
,,0.5592976,0.71382624,,,,
,,0.8586766,0.9229992,,,,
,,0.5592976,0.7156829,,,,
,,0.53023446,0.70128816,,,,
,,0.8209451,0.74780566,,,,
,,0.8209451,0.9099073,,,,
,,0.5592976,0.82443184,,,,
,,1.0749905,0.90138406,,,,
,,0.8209451,0.8250868,,,,
,,0.5890022,0.71037275,,,,
,,0.65058357,0.7126531,,,,
,,0.6826014,0.7400021,,,,
,,1.1523421,0.96120435,,,,
,,0.392794,0.7908649,,,,
,,0.7495107,0.7625603,,,,
,,1.8820012,1.0742815,,,,
,,1.5318029,1.0782654,,,,
,,1.4463253,1.1928463,,,,
,,1.3011672,0.594943,,,,
,,0.24011105,0.7812529,,,,
,,0.8586766,0.9433165,,,,
,,0.7495107,1.0017896,,,,
,,0.41937774,0.7989668,,,,
,,0.41937774,0.71261424,,,,
,,0.44637358,0.66832334,,,,
,,-0.24011102,0.062248915,,,,
,,-0.1669085,0.09071386,,,,
,,0.21553546,0.33502144,,,,
,,-0.19114208,0.1093778,,,,
,,0.26489234,0.09745389,,,,
